name,counters,jobs
4jobs-1/sim1,links/linkdata/default/4jobs-1/sim1/links-4jobs.32k4.csv,links/placements/4jobs-1/4jobs.32k4.csv
4jobs-1/job0-spread,links/linkdata/default/4jobs-1/sim1/links-4jobs.32k4-0.csv,links/placements/4jobs-1/4jobs.32k4-0.csv
4jobs-1/job1-2dstencil,links/linkdata/default/4jobs-1/sim1/links-4jobs.32k4-1.csv,links/placements/4jobs-1/4jobs.32k4-1.csv
4jobs-1/job2-4dstencil,links/linkdata/default/4jobs-1/sim1/links-4jobs.32k4-2.csv,links/placements/4jobs-1/4jobs.32k4-2.csv
4jobs-1/job3-many2many,links/linkdata/default/4jobs-1/sim1/links-4jobs.32k4-3.csv,links/placements/4jobs-1/4jobs.32k4-3.csv

4jobs-1/sim2,links/linkdata/default/4jobs-1/sim2/links-4jobs.32k4.csv,links/placements/4jobs-1/4jobs.32k4.csv
4jobs-1/job0-2dstencil,links/linkdata/default/4jobs-1/sim2/links-4jobs.32k4-0.csv,links/placements/4jobs-1/4jobs.32k4-0.csv
4jobs-1/job1-4dstencil,links/linkdata/default/4jobs-1/sim2/links-4jobs.32k4-1.csv,links/placements/4jobs-1/4jobs.32k4-1.csv
4jobs-1/job2-umesh,links/linkdata/default/4jobs-1/sim2/links-4jobs.32k4-2.csv,links/placements/4jobs-1/4jobs.32k4-2.csv
4jobs-1/job3-spread,links/linkdata/default/4jobs-1/sim2/links-4jobs.32k4-3.csv,links/placements/4jobs-1/4jobs.32k4-3.csv

4jobs-1/sim3,links/linkdata/default/4jobs-1/sim3/links-4jobs.32k4.csv,links/placements/4jobs-1/4jobs.32k4.csv
4jobs-1/job0-umesh,links/linkdata/default/4jobs-1/sim3/links-4jobs.32k4-0.csv,links/placements/4jobs-1/4jobs.32k4-0.csv
4jobs-1/job1-spread,links/linkdata/default/4jobs-1/sim3/links-4jobs.32k4-1.csv,links/placements/4jobs-1/4jobs.32k4-1.csv
4jobs-1/job2-many2many,links/linkdata/default/4jobs-1/sim3/links-4jobs.32k4-2.csv,links/placements/4jobs-1/4jobs.32k4-2.csv
4jobs-1/job3-2dstencil,links/linkdata/default/4jobs-1/sim3/links-4jobs.32k4-3.csv,links/placements/4jobs-1/4jobs.32k4-3.csv

4jobs-1/sim4,links/linkdata/default/4jobs-1/sim4/links-4jobs.32k4.csv,links/placements/4jobs-1/4jobs.32k4.csv
4jobs-1/job0-4dstencil,links/linkdata/default/4jobs-1/sim4/links-4jobs.32k4-0.csv,links/placements/4jobs-1/4jobs.32k4-0.csv
4jobs-1/job1-many2many,links/linkdata/default/4jobs-1/sim4/links-4jobs.32k4-1.csv,links/placements/4jobs-1/4jobs.32k4-1.csv
4jobs-1/job2-spread,links/linkdata/default/4jobs-1/sim4/links-4jobs.32k4-2.csv,links/placements/4jobs-1/4jobs.32k4-2.csv
4jobs-1/job3-umesh,links/linkdata/default/4jobs-1/sim4/links-4jobs.32k4-3.csv,links/placements/4jobs-1/4jobs.32k4-3.csv
